word,score,length
romp,8,4
dross,6,5
lope,6,4
op,4,2
me,4,2
sax,10,3
has,6,3
la,2,2
would,9,5
fa,5,2
ha,5,2
haji,14,4
into,4,4
raj,10,3
_a,NA,2
fab,8,3
bird,7,4
zine,13,4
vat,6,3
two,6,3
sulker,10,6
eh,5,2
have,10,4
doc,6,3
haven,11,5
nom,5,3
my,7,2
yaw,9,3
fun,6,3
kind,9,4
bind,7,4
retime,8,6
xi,9,2
at,2,2
ti,2,2
outr_ged,NA,8
tegu,5,4
ergotic,10,7
yea,6,3
ye,5,2
ed,3,2
qua,12,3
nixie,12,5
teasel,6,6
meant,7,5
zone,13,4
jolt,11,4
titr_ble,NA,8
w_ffler,NA,7
zoned,15,5
draw,8,4
probing,12,7
van,6,3
jam,12,3
sunnily,10,7
bro,5,3
re,2,2
or,2,2
boor,6,4
lot,3,3
op,4,2
yuke,11,4
wok,10,3
shag,8,4
is,2,2
greige,8,6
we,5,2
shod,8,4
rat,3,3
queerish,20,8
am,4,2
me,4,2
pis,5,3
ponds,8,5
via,6,3
chested,13,7
ex,9,2
via,6,3
cyst,9,4
if,5,2
finfoots,14,8
teetotal,8,8
